"Date","# of individuals waiting for full or partial Home Support services"
"2014-04-11","422"
"2014-05-09","505"
"2014-06-23","457"
"2014-07-25","522"
"2014-08-15","583"
"2014-09-05","548"
"2014-09-19","545"
"2014-10-17","698"
"2014-10-24","760"
"2014-11-14","808"
"2014-11-28","821"
"2014-12-12","825"
"2014-12-28","762"
"2015-01-09","906"
"2015-01-16","918"
"2015-01-23","872"
"2015-01-30","859"
"2015-02-06","891"
"2015-02-13","883"
"2015-02-20","862"
"2015-02-27","903"
"2015-03-06","846"
"2015-03-13","866"
"2015-03-20","956"
"2015-03-27","890"
"2015-04-03","834"
"2015-04-10","829"
"2015-04-17","805"
"2015-04-24","862"
"2015-05-01","863"
"2015-05-08","809"
"2015-05-15","831"
"2015-05-22","800"
"2015-05-29","771"
"2015-06-05","776"
"2015-06-12","701"
"2015-06-19","673"
"2015-06-26","715"
"2015-07-03","675"
"2015-07-10","650"
"2015-07-17","611"
"2015-07-24","621"
"2015-07-31","564"
"2015-08-07","608"
"2015-08-14","609"
"2015-08-21","625"
"2015-08-28","643"
"2015-09-04","644"
"2015-09-11","658"
"2015-09-18","668"
"2015-09-25","664"
"2015-10-02","636"
"2015-10-09","681"
"2015-10-16","702"
"2015-10-23","651"
"2015-10-30","628"
"2015-11-06","659"
"2015-11-13","666"
"2015-11-20","643"
"2015-11-27","644"
"2015-12-04","606"
"2015-12-11","579"
"2015-12-18","641"
"2015-12-25","715"
"2016-01-01","654"
"2016-01-08","630"
"2016-01-15","583"
"2016-01-22","578"
"2016-01-29","577"
"2016-02-05","594"
"2016-02-12","605"
"2016-02-19","628"
"2016-02-26","623"
"2016-03-04","629"
"2016-03-11","625"
"2016-03-18","670"
"2016-03-25","701"
"2016-04-01","646"
"2016-04-08","577"
"2016-04-15","503"
"2016-04-22","457"
"2016-04-29","439"
"2016-05-06","430"
"2016-05-13","385"
"2016-05-20","366"
"2016-05-27","376"
"2016-06-03","278"
"2016-06-10","239"
"2016-06-17","177"
"2016-06-24","206"
"2016-07-01","237"
"2016-07-08","205"
"2016-07-15","224"
"2016-07-22","221"
"2016-07-29","256"
"2016-08-05","249"
"2016-08-12","269"
"2016-08-19","239"
"2016-08-26","244"
"2016-09-02","235"
"2016-09-09","220"
"2016-09-16","168"
"2016-09-23","163"
"2016-09-30","161"
"2016-10-07","164"
"2016-10-14","147"
"2016-10-21","149"
"2016-10-28","116"
"2016-11-04","125"
"2016-11-11","122"
"2016-11-18","108"
"2016-11-25","112"
"2016-12-02","119"
"2016-12-09","148"
"2016-12-16","148"
"2016-12-23","128"
"2016-12-30","155"
"2017-01-06","158"
