"Year","Date","Waiting in the Community","Waiting In Hospital","Total Waiting for Initial Placement","Waiting for Inter-Facility Transfer"
"2011/12","04/06/2011","1,381","230","1,611","1,003"
"2011/12","04/13/2011","1,396","232","1,628","996"
"2011/12","04/20/2011","1,397","219","1,616","1,002"
"2011/12","04/27/2011","1,403","216","1,619","999"
"2011/12","05/04/2011","1,380","231","1,611","1,002"
"2011/12","05/11/2011","1,356","234","1,590","1,011"
"2011/12","05/18/2011","1,347","235","1,582","1,005"
"2011/12","05/25/2011","1,356","235","1,591","1,007"
"2011/12","06/01/2011","1,357","227","1,584","1,016"
"2011/12","06/08/2011","1,359","219","1,578","1,034"
"2011/12","06/15/2011","1,339","208","1,547","978"
"2011/12","06/22/2011","1,358","214","1,572","980"
"2011/12","06/29/2011","1,369","203","1,572","927"
"2011/12","07/06/2011","1,359","185","1,544","933"
"2011/12","07/13/2011","1,331","181","1,512","962"
"2011/12","07/20/2011","1,355","179","1,534","967"
"2011/12","07/27/2011","1,359","182","1,541","966"
"2011/12","08/03/2011","1,356","185","1,541","975"
"2011/12","08/10/2011","1,364","164","1,528","987"
"2011/12","08/17/2011","1,359","170","1,529","986"
"2011/12","08/24/2011","1,386","170","1,556","1,003"
"2011/12","08/31/2011","1,404","177","1,581","994"
"2011/12","09/07/2011","1,427","185","1,612","1,001"
"2011/12","09/14/2011","1,437","174","1,611","1,017"
"2011/12","09/21/2011","1,419","186","1,605","1,019"
"2011/12","09/28/2011","1,424","186","1,610","1,004"
"2011/12","10/05/2011","1,414","193","1,607","1,006"
"2011/12","10/12/2011","1,431","202","1,633","1,007"
"2011/12","10/19/2011","1,435","201","1,636","1,035"
"2011/12","10/26/2011","1,414","204","1,618","1,044"
"2011/12","11/02/2011","1,397","235","1,632","1,040"
"2011/12","11/09/2011","1,427","250","1,677","1,048"
"2011/12","11/16/2011","1,440","252","1,692","1,055"
"2011/12","11/23/2011","1,496","281","1,777","1,057"
"2011/12","11/30/2011","1,521","297","1,818","1,058"
"2011/12","12/07/2011","1,525","308","1,833","1,058"
"2011/12","12/14/2011","1,549","320","1,869","1,071"
"2011/12","12/21/2011","1,551","298","1,849","1,044"
"2011/12","12/28/2011","1,557","284","1,841","1,053"
"2011/12","01/02/2012","2,040","369","2,409","1,236"
"2011/12","01/04/2012","1,558","269","1,827","1,045"
"2011/12","01/11/2012","1,559","275","1,834","1,047"
"2011/12","01/18/2012","1,568","283","1,851","1,066"
"2011/12","01/25/2012","1,562","292","1,854","1,060"
"2011/12","02/01/2012","1,568","313","1,881","1,052"
"2011/12","02/08/2012","1,582","322","1,904","1,062"
"2011/12","02/15/2012","1,569","318","1,887","1,065"
"2011/12","02/22/2012","1,581","323","1,904","1,068"
"2011/12","02/29/2012","1,572","323","1,895","1,065"
"2011/12","03/07/2012","1,599","330","1,929","1,064"
"2011/12","03/14/2012","1,634","323","1,957","1,059"
"2011/12","03/21/2012","1,619","303","1,922","1,049"
"2011/12","03/28/2012","1,622","313","1,935","1,030"
"2012/13","04/04/2012","1,635","302","1,937","1,025"
"2012/13","04/11/2012","1,642","293","1,935","1,039"
"2012/13","04/18/2012","1,646","268","1,914","1,042"
"2012/13","04/25/2012","1,686","241","1,927","1,064"
"2012/13","05/02/2012","1,698","223","1,921","1,076"
"2012/13","05/09/2012","1,688","225","1,913","1,088"
"2012/13","05/16/2012","1,699","242","1,941","1,080"
"2012/13","05/23/2012","1,701","268","1,969","1,079"
"2012/13","05/30/2012","1,707","288","1,995","1,081"
"2012/13","06/06/2012","1,731","291","2,022","1,090"
"2012/13","06/13/2012","1,746","292","2,038","1,083"
"2012/13","06/20/2012","1,734","300","2,034","1,091"
"2012/13","06/27/2012","1,767","305","2,072","1,091"
"2012/13","07/04/2012","1,771","299","2,070","1,102"
"2012/13","07/11/2012","1,784","296","2,080","1,119"
"2012/13","07/18/2012","1,782","288","2,070","1,120"
"2012/13","07/25/2012","1,811","289","2,100","1,122"
"2012/13","08/01/2012","1,816","308","2,124","1,115"
"2012/13","08/08/2012","1,823","303","2,126","1,114"
"2012/13","08/15/2012","1,829","325","2,154","1,124"
"2012/13","08/22/2012","1,816","323","2,139","1,138"
"2012/13","08/29/2012","1,823","341","2,164","1,158"
"2012/13","09/05/2012","1,837","351","2,188","1,157"
"2012/13","09/12/2012","1,846","347","2,193","1,161"
"2012/13","09/19/2012","1,857","371","2,228","1,168"
"2012/13","09/26/2012","1,888","373","2,261","1,173"
"2012/13","10/03/2012","1,880","370","2,250","1,178"
"2012/13","10/10/2012","1,912","381","2,293","1,179"
"2012/13","10/17/2012","1,961","390","2,351","1,183"
"2012/13","10/24/2012","1,969","398","2,367","1,194"
"2012/13","10/31/2012","2,008","401","2,409","1,208"
"2012/13","11/07/2012","2,008","415","2,423","1,218"
"2012/13","11/14/2012","2,037","420","2,457","1,221"
"2012/13","11/21/2012","2,037","413","2,450","1,234"
"2012/13","11/28/2012","2,029","406","2,435","1,230"
"2012/13","12/05/2012","2,032","404","2,436","1,219"
"2012/13","12/12/2012","2,036","403","2,439","1,215"
"2012/13","12/19/2012","2,049","397","2,446","1,220"
"2012/13","12/26/2012","2,047","377","2,424","1,241"
"2012/13","01/02/2013","2,040","369","2,409","1,236"
"2012/13","01/09/2013","2,041","359","2,400","1,230"
"2012/13","01/16/2013","2,044","355","2,399","1,235"
"2012/13","01/23/2013","2,072","354","2,426","1,237"
"2012/13","01/30/2013","2,073","339","2,412","1,238"
"2012/13","02/06/2013","2,095","337","2,432","1,230"
"2012/13","02/13/2013","2,090","334","2,424","1,239"
"2012/13","02/20/2013","2,073","329","2,402","1,249"
"2012/13","02/27/2013","2,085","328","2,413","1,249"
"2012/13","03/06/2013","2,086","310","2,396","1,252"
"2012/13","03/20/2013","2,083","305","2,388","1,243"
"2012/13","03/27/2013","2,069","303","2,372","1,241"
"2013/14","04/03/2013","2,056","296","2,352","1,213"
"2013/14","04/10/2013","2,042","279","2,321","1,184"
"2013/14","04/17/2013","2,047","283","2,330","1,178"
"2013/14","04/24/2013","2,049","288","2,337","1,176"
"2013/14","05/01/2013","2,038","296","2,334","1,175"
"2013/14","05/08/2013","2,046","302","2,348","1,178"
"2013/14","05/15/2013","2,045","289","2,334","1,196"
"2013/14","05/22/2013","2,085","302","2,387","1,201"
"2013/14","05/29/2013","2,097","306","2,403","1,211"
"2013/14","06/05/2013","2,085","305","2,390","1,220"
"2013/14","06/12/2013","2,099","308","2,407","1,224"
"2013/14","06/19/2013","2,116","298","2,414","1,230"
"2013/14","06/26/2013","2,133","293","2,426","1,217"
"2013/14","07/03/2013","2,121","296","2,417","1,218"
"2013/14","07/10/2013","2,121","299","2,420","1,215"
"2013/14","07/19/2013","2,136","298","2,434","1,234"
"2013/14","07/24/2013","2,151","297","2,448","1,238"
"2013/14","07/31/2013","2,165","293","2,458","1,260"
"2013/14","08/07/2013","2,165","293","2,458","1,260"
"2013/14","08/14/2013","2,197","295","2,492","1,271"
"2013/14","08/21/2013","2,190","297","2,487","1,273"
"2013/14","08/28/2013","2,192","299","2,491","1,281"
"2013/14","09/04/2013","2,189","292","2,481","1,279"
"2013/14","09/11/2013","2,204","293","2,497","1,284"
"2013/14","09/18/2013","2,174","283","2,457","1,295"
"2013/14","09/25/2013","2,198","289","2,487","1,291"
"2013/14","10/02/2013","2,226","300","2,526","1,288"
"2013/14","10/09/2013","2,227","318","2,545","1,301"
"2013/14","10/16/2013","2,226","312","2,538","1,307"
"2013/14","10/23/2013","2,215","311","2,526","1,306"
"2013/14","10/30/2013","2,215","311","2,526","1,306"
"2013/14","11/06/2013","2,210","306","2,516","1,296"
"2013/14","11/13/2013","2,215","299","2,514","1,292"
"2013/14","11/20/2013","2,193","284","2,477","1,284"
"2013/14","11/27/2013","2,178","283","2,461","1,301"
"2013/14","12/04/2013","2,173","283","2,456","1,305"
"2013/14","12/11/2013","2,175","288","2,463","1,297"
"2013/14","12/18/2013","2,187","281","2,468","1,303"
"2013/14","12/31/2013","2,162","273","2,435","1,255"
"2013/14","01/08/2014","2,136","262","2,398","1,244"
"2013/14","01/15/2014","2,100","245","2,345","1,251"
"2013/14","01/22/2014","2,076","231","2,307","1,254"
"2013/14","01/29/2014","2,064","230","2,294","1,260"
"2013/14","02/05/2014","2,077","235","2,312","1,271"
"2013/14","02/12/2014","2,093","252","2,345","1,272"
"2013/14","02/19/2014","2,113","253","2,366","1,265"
"2013/14","02/26/2014","2,113","253","2,366","1,265"
"2013/14","03/05/2014","2,097","252","2,349","1,278"
"2013/14","03/12/2014","2,082","248","2,330","1,280"
"2013/14","03/19/2014","2,086","245","2,331","1,272"
"2013/14","03/26/2014","2,110","240","2,350","1,284"
"2014/15","04/02/2014","2,104","240","2,344","1,288"
"2014/15","04/09/2014","2,106","228","2,334","1,311"
"2014/15","04/16/2014","2,127","219","2,346","1,297"
"2014/15","04/23/2014","2,116","225","2,341","1,293"
"2014/15","04/30/2014","2,112","214","2,326","1,297"
"2014/15","05/07/2014","2,091","224","2,315","1,274"
"2014/15","05/14/2014","2,089","223","2,312","1,281"
"2014/15","05/21/2014","2,092","226","2,318","1,287"
"2014/15","05/28/2014","2,098","228","2,326","1,290"
"2014/15","06/04/2014","2,098","228","2,326","1,290"
"2014/15","06/11/2014","2,118","239","2,357","1,297"
"2014/15","06/18/2014","2,142","234","2,376","1,309"
"2014/15","06/25/2014","2,146","252","2,398","1,298"
"2014/15","07/02/2014","2,146","252","2,398","1,298"
"2014/15","07/09/2014","2,142","236","2,378","1,305"
"2014/15","07/16/2014","2,132","243","2,375","1,298"
"2014/15","07/23/2014","2,161","249","2,410","1,292"
"2014/15","07/30/2014","2,190","248","2,438","1,296"
"2014/15","08/06/2014","2,195","250","2,445","1,303"
"2014/15","08/13/2014","2,203","259","2,462","1,316"
"2014/15","08/20/2014","2,244","262","2,506","1,340"
"2014/15","08/27/2014","2,244","262","2,506","1,340"
"2014/15","09/03/2014","2,251","274","2,525","1,341"
"2014/15","09/10/2014","2,253","282","2,535","1,344"
"2014/15","09/17/2014","2,260","271","2,531","1,349"
"2014/15","09/24/2014","2,260","267","2,527","1,347"
"2014/15","10/01/2014","2,270","265","2,535","1,350"
"2014/15","10/08/2014","2,261","290","2,551","1,354"
"2014/15","10/15/2014","2,262","293","2,555","1,358"
"2014/15","10/22/2014","2,272","298","2,570","1,370"
"2014/15","10/29/2014","2,276","294","2,570","1,368"
"2014/15","11/05/2014","2,279","303","2,582","1,370"
"2014/15","11/12/2014","2,272","303","2,575","1,365"
"2014/15","11/19/2014","2,255","299","2,554","1,379"
"2014/15","11/26/2014","2,255","308","2,563","1,389"
"2014/15","12/03/2014","2,271","307","2,578","1,388"
"2014/15","12/10/2014","2,286","303","2,589","1,380"
"2014/15","12/17/2014","2,296","289","2,585","1,391"
"2014/15","12/24/2014","2,282","288","2,570","1,410"
"2014/15","01/02/2015","2,267","285","2,552","1,414"
"2014/15","01/07/2015","2,253","282","2,535","1,411"
"2014/15","01/14/2015","2,218","278","2,496","1,434"
"2014/15","01/21/2015","2,223","272","2,495","1,428"
"2014/15","01/28/2015","2,218","267","2,485","1,430"
"2014/15","02/04/2015","2,190","264","2,454","1,425"
"2014/15","02/11/2015","2,178","256","2,434","1,424"
"2014/15","02/18/2015","2,191","256","2,447","1,429"
"2014/15","02/25/2015","2,192","254","2,446","1,423"
"2014/15","03/04/2015","2,192","254","2,446","1,423"
"2014/15","03/11/2015","2,219","244","2,463","1,422"
"2014/15","03/18/2015","2,161","240","2,401","1,396"
"2014/15","03/25/2015","2,123","232","2,355","1,390"
"2015/16","04/01/2015","2,080","216","2,296","1,382"
"2015/16","04/08/2015","2,046","220","2,266","1,376"
"2015/16","04/15/2015","1,997","203","2,200","1,371"
"2015/16","04/22/2015","1,968","188","2,156","1,366"
"2015/16","04/29/2015","1,948","190","2,138","1,376"
"2015/16","05/06/2015","1,940","186","2,126","1,380"
