County,Facility,Wait_Time_Days
Cumberland,All Cumberland County sites,12
Cumberland,Bayview Memorial,4
Cumberland,Centennial Villa,7
Cumberland,High-Crest Springhill,10
Cumberland,Northumberland Hall,10
Cumberland,Gables Lodge,13
Cumberland,East Cumberland Lodge,24
Cumberland,South Cumberland Nursing Home,---
Pictou,All Pictou County sites,13
Pictou,Glen Haven,11
Pictou,Shiretown Nursing,13
Pictou,Valley View Villa,18
Pictou,Sutherland Harris Memorial Hospital Northumberland Veterans Unit,311
Pictou,Maritime Oddfellows,---
Pictou,Ivey's Terrace Nursing Home,---
Lunenburg,All Lunenburg County sites,43
Lunenburg,Harbour View Haven,24
Lunenburg,Rosedale Home,34
Lunenburg,Shoreham Village,47
Lunenburg,Mahone Nursing,54
Lunenburg,Ryan Hall,64
Lunenburg,Hillside Pines,97
Lunenburg,SD Fisherman's Veteran Memorial Hospital,241
Shelburne,All Shelburne County sites,46
Shelburne,Surf Lodge,27
Shelburne,Roseway Manor,28
Shelburne,Bay Side Home,174
Colchester,All Colchester County sites,47
Colchester,Willow Lodge,15
Colchester,Wynn Park Villa,23
Colchester,The Mira,35
Colchester,Elk Court,47
Colchester,Vimy Court,50
Colchester,Debert Court,65
Colchester,Cedarstone Enhanced Care,118
Queens,All Queens County sites,47
Queens,North Queens Nursing Home,34
Queens,Queen's Manor,130
Digby,All Digby County sites,52
Digby,Villa Acadienne,40
Digby,Villa d'la Baie,62
Digby,Tideview Terrace,132
Guysborough,All Guysborough County sites,76
Guysborough,Milford Haven,74
Guysborough,High-Crest Sherbrooke,85
Guysborough,Canso Seaside,---
Annapolis,All Annapolis County sites,78
Annapolis,Mountain Lea Lodge,63
Annapolis,Annapolis Royal Nursing Home,66
Annapolis,Heart of the Valley LTC Centre,148
Annapolis,Soldiers Memorial Veterans Unit,---
Kings,All Kings County sites,85
Kings,Wolfville Nursing Home,58
Kings,Blomidon Court,74
Kings,Grand View Manor,89
Kings,Evergreen Home,92
Kings,Orchard Court,201
Halifax,All Halifax County sites,89
Halifax,Northwood Care,31
Halifax,Oakwood Terrace,34
Halifax,The Birches,39
Halifax,Arborstone Enhanced Care,55
Halifax,Melville Gardens Nursing Home,55
Halifax,Saint Vincent's,63
Halifax,Maplestone Enhanced Care,64
Halifax,Melville Lodge,65
Halifax,Ocean View Continuing Care Centre,68
Halifax,The Ivy Meadows Continuing Care Centre,77
Halifax,Braeside Nursing Home,79
Halifax,Bissett Court,90
Halifax,Harbourview Lodge Continuing Care Centre,104
Halifax,SD Camp Hill (Veterans Memorial Building) LTC Facility,105
Halifax,Bedford West Northwood,111
Halifax,Parkland at the Lakes-Glasgow Hall,113
Halifax,Opal Ridge Hall,147
Halifax,White Hills LTC Centre,155
Halifax,Parkstone Enhanced Care,159
Halifax,Moody Hall,173
Halifax,London Hall,184
Halifax,De Paul Hall (Caritas),217
Halifax,The Admiral LTC Centre,230
Halifax,The Sagewood Continuing Care Centre,297
Victoria,All Victoria County sites,90
Victoria,Alderwood Rest Home,86
Victoria,Highland Manor,94
Inverness,All Inverness County sites,114
Inverness,Foyer Pere Fiset,66
Inverness,Port Hawkesbury Nursing Home,114
Inverness,Inverary Manor,195
Cape Breton,All Cape Breton County sites,115
Cape Breton,Harbour View Hospital,59
Cape Breton,Seaview Manor,63
Cape Breton,Victoria Haven,73
Cape Breton,Taigh Solas,85
Cape Breton,Taigh Na Mara Facility,89
Cape Breton,Harbourstone,109
Cape Breton,Maple Hill,115
Cape Breton,Miner's Memorial Manor,118
Cape Breton,Northside Community Guest,145
Cape Breton,The Cove,188
Cape Breton,MacGillivray Guest,190
Cape Breton,Waterford Heights,---
Cape Breton,Celtic Court,---
Cape Breton,Kiknu,---
Yarmouth,All Yarmouth County sites,118
Yarmouth,Nakile Home,68
Yarmouth,The Meadows- Tidal View Manor,134
Yarmouth,Villa St. Joseph du Lac,148
Yarmouth,Yarmouth Heights,150
Yarmouth,Veteran's Place (Yarmouth Regional Hospital),---
Hants,All Hants County sites,119
Hants,Magnolia Continuing Care Centre,65
Hants,Mayflower Meadows,92
Hants,Dykeland Lodge,112
Hants,Windsor Elms Village,262
Antigonish,All Antigonish County sites,121
Antigonish,Parkland Antigonish,97
Antigonish,R. K. MacDonald,122
Richmond,All Richmond County sites,158
Richmond,St. Anne Centre,80
Richmond,Richmond Villa,583
